feature_id,feature_name,description,required_raw_variables,importance_score,created_timestamp
feat_1,cust_day_since_last_failed_login,"Days since the customer’s last failed login attempt, indicating potential unauthorized access attempts.","digital_code,event_date,event_time",0.85,2025-11-23 13:27:20.486926
feat_2,card_cnt_tran_mcc_7d,Count of card transactions in specific merchant category codes over the last 7 days.,"transaction_id,transaction_date,mcc",0.7,2025-11-23 13:27:20.486934
feat_3,cust_cnt_tran_pos_30d,Count of customer point-of-sale transactions over the last 30 days.,"transaction_id,transaction_date,pos",0.65,2025-11-23 13:27:20.486935
feat_4,card_ratio_mcc_1d,Ratio of transactions in specific merchant category codes over the last 1 day.,"transaction_id,transaction_date,mcc",0.6,2025-11-23 13:27:20.486936
feat_5,card_cnt_tran_night_90d,Count of card transactions during nighttime hours over the last 90 days.,"transaction_id,transaction_date,transaction_time",0.55,2025-11-23 13:27:20.486937
feat_6,cust_day_since_last_mid,Days since the customer’s last merchant-initiated transaction.,"transaction_id,transaction_date",0.75,2025-11-23 13:27:20.486938
feat_7,card_cnt_tran_secure_12h,"Count of secure card transactions (e.g., 3D Secure) in the last 12 hours.","transaction_id,transaction_date,transaction_time,secure_flag",0.8,2025-11-23 13:27:20.486939
feat_8,card_normed_amt_30d,Normalized transaction amount for the card over the last 30 days.,"transaction_id,transaction_date,transaction_amt",0.7,2025-11-23 13:27:20.486940
feat_9,MultiProduct_HighValue_TxnVelocity,"Calculates the total monetary value of all cnp_flag=True transactions (online credit card purchases) and high-value current account transfers (inferred as Faster Payments, i.e., high transaction_amt transactions not typical for debit card purchases, possibly indicated by specific MCCs for money transfers or P2P services) occurring within a very short rolling time window (e.g., 15 minutes to 1 hour). This aggregates fraud attempts across different account types and payment rails.","transaction_date,transaction_time,transaction_amt,cnp_flag,mcc",0.7,2025-11-23T13:29:47.982480
feat_10,DaysSinceLastCreditCardIssuance,"Calculates the number of days since the last credit card (primary or replacement) was issued to the customer. A very low value (e.g., 0-7 days) indicates a recent card issuance, which can be an anomaly if the customer rarely requests new cards, or if it's a second request in an unusually short period.","event_date,event_time",0.8,2025-11-23T13:33:24.812569
